type,timestamp
non-target,1742016956.647595
non-target,1742016957.6491961
non-target,1742016958.650038
non-target,1742016959.651864
non-target,1742016960.653656
non-target,1742016961.655722
non-target,1742016962.6575801
non-target,1742016963.659189
non-target,1742016964.660736
non-target,1742016965.662585
non-target,1742016966.664114
target,1742016967.666006
target,1742016968.66783
non-target,1742016969.6701272
non-target,1742016970.6716511
target,1742016971.673602
non-target,1742016972.675712
non-target,1742016973.677213
non-target,1742016974.678234
non-target,1742016975.679915
non-target,1742016976.6815639
non-target,1742016977.683
non-target,1742016978.684175
non-target,1742016979.6852531
non-target,1742016980.686919
target,1742016981.688284
non-target,1742016982.68993
non-target,1742016983.6920269
non-target,1742016984.694071
non-target,1742016985.6961632
non-target,1742016986.698184
non-target,1742016987.6998909
non-target,1742016988.701333
target,1742016989.701944
non-target,1742016990.704231
non-target,1742016991.707291
non-target,1742016992.7092009
non-target,1742016993.710759
target,1742016994.712508
non-target,1742016995.714667
non-target,1742016996.7176251
non-target,1742016997.71927
non-target,1742016998.720361
non-target,1742016999.7217312
non-target,1742017000.7232928
non-target,1742017001.724798
non-target,1742017002.727242
target,1742017003.728417
non-target,1742017004.7300491
target,1742017005.7316349
non-target,1742017006.7328918
non-target,1742017007.733851
non-target,1742017008.735439
non-target,1742017009.73696
non-target,1742017010.738664
non-target,1742017011.7394402
non-target,1742017012.740917
non-target,1742017013.742342
non-target,1742017014.744063
non-target,1742017015.7450502
non-target,1742017016.7468128
non-target,1742017017.7487519
non-target,1742017018.750557
non-target,1742017019.752256
non-target,1742017020.753793
non-target,1742017021.7560809
non-target,1742017022.7576818
non-target,1742017023.75947
target,1742017024.761121
target,1742017025.762499
non-target,1742017026.7655349
target,1742017027.7670422
non-target,1742017028.770667
target,1742017029.773006
target,1742017030.775624
non-target,1742017031.779503
non-target,1742017032.7809548
non-target,1742017033.7826931
non-target,1742017034.786426
non-target,1742017035.791896
non-target,1742017036.794535
non-target,1742017037.796105
non-target,1742017038.797956
non-target,1742017039.799338
non-target,1742017040.800312
non-target,1742017041.8016782
non-target,1742017042.803058
non-target,1742017043.8046432
non-target,1742017044.80621
non-target,1742017045.8077178
non-target,1742017046.809097
non-target,1742017047.810101
target,1742017048.8115258
non-target,1742017049.815337
non-target,1742017050.817149
non-target,1742017051.81876
non-target,1742017052.820105
non-target,1742017053.827102
non-target,1742017054.830933
non-target,1742017055.836024
