type,timestamp
non-target,1742016055.998743
non-target,1742016057.0032818
non-target,1742016058.004063
non-target,1742016059.0051892
non-target,1742016060.006092
non-target,1742016061.007702
non-target,1742016062.0089018
non-target,1742016063.0106812
target,1742016064.011426
target,1742016065.0129778
non-target,1742016066.013639
non-target,1742016067.0176241
target,1742016068.019597
non-target,1742016069.021267
non-target,1742016070.0225952
non-target,1742016071.02369
non-target,1742016072.025245
non-target,1742016073.02584
non-target,1742016074.027946
non-target,1742016075.029839
non-target,1742016076.031422
non-target,1742016077.033921
non-target,1742016078.037222
non-target,1742016079.038927
non-target,1742016080.041397
target,1742016081.04271
non-target,1742016082.045263
non-target,1742016083.046772
non-target,1742016084.048498
non-target,1742016085.050317
non-target,1742016086.051211
non-target,1742016087.0526972
non-target,1742016088.0545988
non-target,1742016089.0566678
target,1742016090.058634
target,1742016091.060493
non-target,1742016092.062565
non-target,1742016093.0642529
non-target,1742016094.065753
target,1742016095.0666938
non-target,1742016096.069922
non-target,1742016097.070859
non-target,1742016098.075541
target,1742016099.077218
non-target,1742016100.07972
non-target,1742016101.081471
non-target,1742016102.083327
non-target,1742016103.084393
target,1742016104.085515
non-target,1742016105.088898
non-target,1742016106.090871
non-target,1742016107.092905
non-target,1742016108.0944698
target,1742016109.095644
non-target,1742016110.0974221
non-target,1742016111.098688
non-target,1742016112.101583
target,1742016113.1029131
target,1742016114.105345
non-target,1742016115.107291
non-target,1742016116.108756
non-target,1742016117.1105962
non-target,1742016118.111464
non-target,1742016119.113218
non-target,1742016120.114691
non-target,1742016121.1163578
non-target,1742016122.120474
non-target,1742016123.121206
non-target,1742016124.123564
non-target,1742016125.125351
non-target,1742016126.126799
non-target,1742016127.129468
target,1742016128.1329489
non-target,1742016129.138052
non-target,1742016130.142454
non-target,1742016131.1446888
non-target,1742016132.147912
non-target,1742016133.1515882
non-target,1742016134.154946
target,1742016135.157061
non-target,1742016136.159016
non-target,1742016137.15987
non-target,1742016138.161819
non-target,1742016139.163281
target,1742016140.164219
non-target,1742016141.1660411
non-target,1742016142.1673799
non-target,1742016143.1686778
non-target,1742016144.169783
target,1742016145.171681
non-target,1742016146.172662
target,1742016147.174888
target,1742016148.177036
target,1742016149.1787992
non-target,1742016150.181052
non-target,1742016151.184015
non-target,1742016152.185146
non-target,1742016153.186576
target,1742016154.188352
target,1742016155.189316
