type,timestamp
non-target,1742016672.4293802
non-target,1742016673.431008
non-target,1742016674.432949
target,1742016675.43418
non-target,1742016676.4364932
non-target,1742016677.438024
non-target,1742016678.4393642
non-target,1742016679.440788
non-target,1742016680.441998
non-target,1742016681.4433012
non-target,1742016682.4451609
non-target,1742016683.44646
non-target,1742016684.448352
target,1742016685.4493
non-target,1742016686.451023
target,1742016687.451755
non-target,1742016688.4534059
non-target,1742016689.454485
non-target,1742016690.4559622
non-target,1742016691.458911
non-target,1742016692.459597
non-target,1742016693.4616902
non-target,1742016694.462977
non-target,1742016695.464517
non-target,1742016696.465887
non-target,1742016697.4673421
non-target,1742016698.469078
non-target,1742016699.4705012
non-target,1742016700.472217
non-target,1742016701.4732401
non-target,1742016702.474889
non-target,1742016703.4766889
non-target,1742016704.478247
non-target,1742016705.479813
non-target,1742016706.48149
target,1742016707.482962
non-target,1742016708.483603
non-target,1742016709.486763
non-target,1742016710.4882371
non-target,1742016711.489792
non-target,1742016712.4909172
non-target,1742016713.49189
non-target,1742016714.4938
non-target,1742016715.494575
non-target,1742016716.49514
non-target,1742016717.496043
non-target,1742016718.497836
non-target,1742016719.4993742
target,1742016720.5009122
non-target,1742016721.503654
non-target,1742016722.505335
non-target,1742016723.5079172
non-target,1742016724.5102139
non-target,1742016725.513674
target,1742016726.515949
non-target,1742016727.5173278
non-target,1742016728.51986
non-target,1742016729.521909
non-target,1742016730.52405
target,1742016731.525024
non-target,1742016732.5268
non-target,1742016733.528607
target,1742016734.5300999
target,1742016735.5317278
target,1742016736.5333672
target,1742016737.535255
non-target,1742016738.536333
non-target,1742016739.5372732
non-target,1742016740.538552
non-target,1742016741.5398028
non-target,1742016742.541878
non-target,1742016743.5459049
non-target,1742016744.5470011
non-target,1742016745.548148
non-target,1742016746.549577
non-target,1742016747.551263
non-target,1742016748.552744
non-target,1742016749.554553
non-target,1742016750.55936
target,1742016751.56178
non-target,1742016752.563498
target,1742016753.565193
non-target,1742016754.566889
non-target,1742016755.56958
non-target,1742016756.571052
target,1742016757.572403
non-target,1742016758.5740092
non-target,1742016759.575666
non-target,1742016760.577168
target,1742016761.578877
non-target,1742016762.581113
non-target,1742016763.584199
non-target,1742016764.585845
non-target,1742016765.587511
non-target,1742016766.589472
target,1742016767.590453
non-target,1742016768.592288
non-target,1742016769.5944269
non-target,1742016770.5965881
non-target,1742016771.598664
