type,timestamp
non-target,1742015592.941291
non-target,1742015593.942627
target,1742015594.944234
non-target,1742015595.945848
non-target,1742015596.947232
non-target,1742015597.948849
non-target,1742015598.949829
non-target,1742015599.9506009
target,1742015600.952329
target,1742015601.954025
non-target,1742015602.956396
non-target,1742015603.95798
non-target,1742015604.960704
non-target,1742015605.963553
non-target,1742015606.965492
non-target,1742015607.966631
non-target,1742015608.968889
non-target,1742015609.970748
non-target,1742015610.9726999
non-target,1742015611.9743218
non-target,1742015612.9757519
non-target,1742015613.9773939
non-target,1742015614.980484
target,1742015615.981359
non-target,1742015616.9837399
non-target,1742015617.9853702
non-target,1742015618.9880252
target,1742015619.989595
non-target,1742015620.9915059
non-target,1742015621.992702
non-target,1742015622.993553
non-target,1742015623.9955032
non-target,1742015624.997375
non-target,1742015625.999269
non-target,1742015627.0010629
non-target,1742015628.004374
non-target,1742015629.0074298
non-target,1742015630.009779
target,1742015631.010665
non-target,1742015632.011982
target,1742015633.0133052
non-target,1742015634.014972
non-target,1742015635.0160131
non-target,1742015636.0174348
non-target,1742015637.0186229
non-target,1742015638.019903
non-target,1742015639.0217469
non-target,1742015640.023416
non-target,1742015641.025829
target,1742015642.027292
non-target,1742015643.029946
target,1742015644.0320158
non-target,1742015645.034125
target,1742015646.034931
non-target,1742015647.0366359
non-target,1742015648.0385711
non-target,1742015649.040336
non-target,1742015650.0423338
non-target,1742015651.044093
non-target,1742015652.045036
target,1742015653.046518
non-target,1742015654.048646
non-target,1742015655.050391
non-target,1742015656.052398
non-target,1742015657.055746
target,1742015658.0571892
target,1742015659.0589921
target,1742015660.060231
non-target,1742015661.065248
non-target,1742015662.068171
non-target,1742015663.070359
non-target,1742015664.071605
non-target,1742015665.072911
non-target,1742015666.074717
non-target,1742015667.076292
non-target,1742015668.078017
target,1742015669.079925
non-target,1742015670.0813959
non-target,1742015671.082342
non-target,1742015672.086858
non-target,1742015673.09054
non-target,1742015674.092122
target,1742015675.0973241
non-target,1742015676.1025531
non-target,1742015677.1043441
non-target,1742015678.105493
non-target,1742015679.1064372
target,1742015680.107678
non-target,1742015681.109188
non-target,1742015682.111041
non-target,1742015683.1130528
non-target,1742015684.1149771
non-target,1742015685.116375
non-target,1742015686.117907
target,1742015687.119581
target,1742015688.121988
non-target,1742015689.124029
non-target,1742015690.12543
non-target,1742015691.127129
non-target,1742015692.129739
