type,timestamp
non-target,1742014289.4176729
non-target,1742014290.419549
non-target,1742014291.4213738
non-target,1742014292.423254
non-target,1742014293.424431
non-target,1742014294.426089
non-target,1742014295.428067
non-target,1742014296.43003
non-target,1742014297.431395
target,1742014298.433036
target,1742014299.4347498
non-target,1742014300.436811
non-target,1742014301.4387689
target,1742014302.440976
non-target,1742014303.442284
non-target,1742014304.4445992
non-target,1742014305.446549
target,1742014306.448193
non-target,1742014307.450617
non-target,1742014308.451423
non-target,1742014309.452694
non-target,1742014310.454423
non-target,1742014311.45596
non-target,1742014312.458035
non-target,1742014313.459945
non-target,1742014314.461459
non-target,1742014315.46304
non-target,1742014316.464819
non-target,1742014317.4665558
non-target,1742014318.467604
non-target,1742014319.4693382
non-target,1742014320.4701061
non-target,1742014321.472146
target,1742014322.474504
non-target,1742014323.476485
non-target,1742014324.47825
non-target,1742014325.479829
non-target,1742014326.481076
non-target,1742014327.483776
non-target,1742014328.485373
non-target,1742014329.486958
non-target,1742014330.487911
non-target,1742014331.489553
non-target,1742014332.4912481
non-target,1742014333.492428
non-target,1742014334.4937449
non-target,1742014335.495729
non-target,1742014336.498899
non-target,1742014337.50004
target,1742014338.5016031
non-target,1742014339.5041611
non-target,1742014340.505713
non-target,1742014341.5066
non-target,1742014342.5089412
non-target,1742014343.51036
non-target,1742014344.511169
target,1742014345.513289
non-target,1742014346.514901
non-target,1742014347.517123
target,1742014348.5186229
non-target,1742014349.520502
target,1742014350.522413
non-target,1742014351.523981
non-target,1742014352.525865
non-target,1742014353.527821
non-target,1742014354.5293372
non-target,1742014355.5338361
non-target,1742014356.5357351
non-target,1742014357.5376132
target,1742014358.539115
non-target,1742014359.5408168
non-target,1742014360.542448
non-target,1742014361.544047
non-target,1742014362.5449548
target,1742014363.546494
target,1742014364.547904
non-target,1742014365.549321
target,1742014366.550526
non-target,1742014367.552147
target,1742014368.554757
non-target,1742014369.5574322
non-target,1742014370.558469
non-target,1742014371.5606341
non-target,1742014372.5623648
non-target,1742014373.5663612
non-target,1742014374.568537
non-target,1742014375.5701802
non-target,1742014376.5719318
non-target,1742014377.573791
target,1742014378.576206
non-target,1742014379.577055
non-target,1742014380.606394
target,1742014381.6109598
non-target,1742014382.612983
non-target,1742014383.615598
non-target,1742014384.618172
non-target,1742014385.619563
non-target,1742014386.620996
non-target,1742014387.622404
non-target,1742014388.623585
