type,timestamp
non-target,1742015389.266853
non-target,1742015390.268571
target,1742015391.2704551
non-target,1742015392.271093
non-target,1742015393.271966
non-target,1742015394.2732
non-target,1742015395.2749052
non-target,1742015396.2762399
non-target,1742015397.277365
target,1742015398.278762
non-target,1742015399.2803268
target,1742015400.281727
non-target,1742015401.2829518
non-target,1742015402.28404
non-target,1742015403.2852962
non-target,1742015404.2871559
non-target,1742015405.288085
non-target,1742015406.289498
non-target,1742015407.290477
target,1742015408.2931929
target,1742015409.2948961
non-target,1742015410.295871
non-target,1742015411.2977548
non-target,1742015412.298868
non-target,1742015413.300231
non-target,1742015414.302845
non-target,1742015415.303696
non-target,1742015416.305852
non-target,1742015417.3074071
non-target,1742015418.308469
non-target,1742015419.311601
non-target,1742015420.31354
non-target,1742015421.315236
target,1742015422.3167942
target,1742015423.318063
non-target,1742015424.319495
non-target,1742015425.320874
non-target,1742015426.323191
non-target,1742015427.324991
target,1742015428.3265321
non-target,1742015429.3286169
non-target,1742015430.3304288
non-target,1742015431.331826
non-target,1742015432.334239
non-target,1742015433.3381178
non-target,1742015434.3398001
non-target,1742015435.342143
non-target,1742015436.3430982
non-target,1742015437.3447502
non-target,1742015438.346275
target,1742015439.347892
non-target,1742015440.348947
non-target,1742015441.3507788
target,1742015442.352006
non-target,1742015443.353437
non-target,1742015444.355223
non-target,1742015445.356755
non-target,1742015446.359152
non-target,1742015447.3607092
non-target,1742015448.364368
non-target,1742015449.365153
non-target,1742015450.3673542
non-target,1742015451.369419
non-target,1742015452.3718941
non-target,1742015453.37344
target,1742015454.3742201
non-target,1742015455.376173
non-target,1742015456.377682
non-target,1742015457.3788328
non-target,1742015458.380181
non-target,1742015459.3812852
target,1742015460.382719
non-target,1742015461.384139
non-target,1742015462.385536
non-target,1742015463.3869162
target,1742015464.38847
target,1742015465.389183
non-target,1742015466.3905542
non-target,1742015467.391835
non-target,1742015468.393305
target,1742015469.3944151
non-target,1742015470.396888
non-target,1742015471.3982248
non-target,1742015472.399457
target,1742015473.401242
non-target,1742015474.401993
non-target,1742015475.40338
target,1742015476.408208
target,1742015477.409954
non-target,1742015478.410958
target,1742015479.411894
non-target,1742015480.4152699
non-target,1742015481.4169338
target,1742015482.417492
non-target,1742015483.418678
non-target,1742015484.420809
non-target,1742015485.422732
non-target,1742015486.424303
non-target,1742015487.425958
target,1742015488.427619
