type,timestamp
non-target,1742016467.974417
non-target,1742016468.976365
non-target,1742016469.977335
non-target,1742016470.978817
non-target,1742016471.9804428
target,1742016472.9826791
non-target,1742016473.984985
non-target,1742016474.987937
non-target,1742016475.989811
non-target,1742016476.9914901
target,1742016477.992051
non-target,1742016478.994161
non-target,1742016479.995973
target,1742016480.996904
non-target,1742016481.998635
target,1742016483.0003378
non-target,1742016484.0021849
non-target,1742016485.002736
non-target,1742016486.004271
target,1742016487.005742
target,1742016488.0075688
non-target,1742016489.009923
non-target,1742016490.010976
non-target,1742016491.012289
non-target,1742016492.0138931
target,1742016493.015669
non-target,1742016494.016858
target,1742016495.0185332
target,1742016496.020077
non-target,1742016497.021864
non-target,1742016498.023663
non-target,1742016499.025293
target,1742016500.026798
target,1742016501.0285618
non-target,1742016502.030404
non-target,1742016503.0317729
non-target,1742016504.0333061
non-target,1742016505.0347981
non-target,1742016506.036384
non-target,1742016507.0391428
non-target,1742016508.040195
target,1742016509.0418382
non-target,1742016510.0436952
non-target,1742016511.0452712
non-target,1742016512.0463731
non-target,1742016513.048522
target,1742016514.049674
non-target,1742016515.0516229
target,1742016516.053371
non-target,1742016517.055459
non-target,1742016518.057111
target,1742016519.058356
non-target,1742016520.059058
non-target,1742016521.062725
target,1742016522.066735
non-target,1742016523.070741
non-target,1742016524.0732229
non-target,1742016525.075379
non-target,1742016526.0769541
non-target,1742016527.078539
target,1742016528.080117
non-target,1742016529.0819032
non-target,1742016530.083414
non-target,1742016531.085365
non-target,1742016532.087314
non-target,1742016533.089171
non-target,1742016534.0910232
target,1742016535.0925639
non-target,1742016536.095573
non-target,1742016537.097844
non-target,1742016538.099346
target,1742016539.100215
non-target,1742016540.102009
non-target,1742016541.104152
non-target,1742016542.105477
non-target,1742016543.107755
non-target,1742016544.1095529
non-target,1742016545.11113
non-target,1742016546.1127622
target,1742016547.114955
non-target,1742016548.11678
target,1742016549.117729
non-target,1742016550.127962
target,1742016551.1295831
target,1742016552.13092
target,1742016553.132545
non-target,1742016554.133556
non-target,1742016555.1373088
non-target,1742016556.1392572
non-target,1742016557.140906
non-target,1742016558.143009
target,1742016559.145493
non-target,1742016560.148302
non-target,1742016561.149502
non-target,1742016562.1506639
non-target,1742016563.15233
non-target,1742016564.1529238
target,1742016565.153995
target,1742016566.1557
non-target,1742016567.158904
