type,timestamp
non-target,1742016283.801575
non-target,1742016284.803241
non-target,1742016285.805439
non-target,1742016286.80614
target,1742016287.806805
non-target,1742016288.8082838
target,1742016289.80942
non-target,1742016290.810143
non-target,1742016291.810677
non-target,1742016292.812165
non-target,1742016293.813568
non-target,1742016294.8148851
non-target,1742016295.816136
target,1742016296.817628
non-target,1742016297.8194702
target,1742016298.8210719
non-target,1742016299.822633
non-target,1742016300.824395
non-target,1742016301.8255029
non-target,1742016302.8261828
non-target,1742016303.827532
non-target,1742016304.8285198
target,1742016305.8301718
non-target,1742016306.830938
non-target,1742016307.831483
non-target,1742016308.8336651
non-target,1742016309.8353631
non-target,1742016310.837165
non-target,1742016311.8383548
non-target,1742016312.840172
non-target,1742016313.842459
non-target,1742016314.844758
non-target,1742016315.847291
target,1742016316.848143
non-target,1742016317.850507
non-target,1742016318.851598
non-target,1742016319.853129
non-target,1742016320.8547251
non-target,1742016321.856122
non-target,1742016322.8566542
non-target,1742016323.8576372
non-target,1742016324.860225
non-target,1742016325.861755
non-target,1742016326.863401
non-target,1742016327.86498
non-target,1742016328.866534
non-target,1742016329.868344
target,1742016330.8694038
target,1742016331.871367
target,1742016332.873507
non-target,1742016333.875835
non-target,1742016334.877701
non-target,1742016335.881227
non-target,1742016336.884126
target,1742016337.88591
non-target,1742016338.887734
target,1742016339.8892858
non-target,1742016340.8912919
non-target,1742016341.893525
non-target,1742016342.89537
non-target,1742016343.896859
target,1742016344.899235
target,1742016345.9011168
non-target,1742016346.9032052
non-target,1742016347.904943
non-target,1742016348.9087539
non-target,1742016349.9137018
target,1742016350.9159832
non-target,1742016351.917789
target,1742016352.91923
non-target,1742016353.921064
non-target,1742016354.9231339
non-target,1742016355.924311
non-target,1742016356.926868
non-target,1742016357.928555
target,1742016358.9301
non-target,1742016359.9318779
non-target,1742016360.933892
non-target,1742016361.9354901
non-target,1742016362.937448
non-target,1742016363.939647
non-target,1742016364.942864
non-target,1742016365.946931
non-target,1742016366.9486458
non-target,1742016367.9509509
target,1742016368.952624
non-target,1742016369.956888
non-target,1742016370.9583611
target,1742016371.96256
non-target,1742016372.966235
non-target,1742016373.967351
non-target,1742016374.969058
target,1742016375.970699
target,1742016376.971437
non-target,1742016377.9729888
target,1742016378.9739609
non-target,1742016379.975638
target,1742016380.9775481
non-target,1742016381.979132
non-target,1742016382.9805
